R.V,Time Interval,R.V For Services,C.T.A,Start,End,Serv. Duration,System State
0,0,67,0,0,4,4,0.0
869,10,2,10,10,12,2,6.0
770,10,46,20,20,23,3,8.0
294,3,11,23,23,25,2,0.0
321,3,48,26,26,29,3,1.0
635,8,27,34,34,36,2,5.0
142,2,52,36,36,39,3,0.0
390,5,28,41,41,43,2,2.0
